iter	MultiClass
0	1.077868803
1	1.060105168
2	1.043126152
3	1.030204096
4	1.018783095
5	1.00815616
6	0.9981958253
7	0.9862141033
8	0.9761051946
9	0.9704304836
10	0.9628110115
11	0.9535153951
12	0.9450669905
13	0.9377691392
14	0.9311059202
15	0.9249103946
16	0.918492304
17	0.9127542075
18	0.9062727551
19	0.9017790025
20	0.896139161
21	0.8925871185
22	0.8872162246
23	0.8834206497
24	0.8800604596
25	0.8751932637
26	0.871812949
27	0.868943512
28	0.8657935523
29	0.863496401
30	0.861443698
31	0.8584511478
32	0.8556330625
33	0.852649374
34	0.8499012264
35	0.8475432423
36	0.8451149038
37	0.8429459859
38	0.8423705902
39	0.8411550926
40	0.8388677139
41	0.8374846515
42	0.8353470003
43	0.8340295339
44	0.832156987
45	0.8307859135
46	0.8294640817
47	0.8270272253
48	0.8255093174
49	0.8243052776
50	0.823703128
51	0.8224495794
52	0.8201981443
53	0.8192329854
54	0.817751617
55	0.8171586008
56	0.8157705946
57	0.8148360662
58	0.8142546875
59	0.8133248259
60	0.8126076494
61	0.8118821572
62	0.8111452714
63	0.8101451528
64	0.808186863
65	0.8069825678
66	0.8055716145
67	0.8043924846
68	0.8035826889
69	0.8029560439
70	0.8025230237
71	0.8018667086
72	0.8010557053
73	0.8006616331
74	0.7996370524
75	0.7988479699
76	0.7982449438
77	0.7970602048
78	0.7964203725
79	0.7953543928
80	0.794777888
81	0.7943199707
82	0.7937724468
83	0.7932371339
84	0.7927396034
85	0.7915363373
86	0.7907702089
87	0.7898529759
88	0.7890362062
89	0.7885869222
90	0.787632934
91	0.7870365755
92	0.7866131613
93	0.786245216
94	0.7859381648
95	0.7853244542
96	0.7843032229
97	0.7839693259
98	0.7832765634
99	0.7828279473
100	0.7825146237
101	0.7816904826
102	0.7811897738
103	0.7808891632
104	0.7798725713
105	0.7795992337
106	0.7793546773
107	0.778738778
108	0.7782368809
109	0.7778870453
110	0.77719504
111	0.7768814718
112	0.7764645342
113	0.7759449902
114	0.7745155147
115	0.7740532155
116	0.7736159767
117	0.7734083441
118	0.7727611368
119	0.7715167807
120	0.7710168415
121	0.7706632666
122	0.7694977853
123	0.7692055348
124	0.7689773052
125	0.7686004266
126	0.7683678846
127	0.7681090799
128	0.7674691429
129	0.7672017179
130	0.7668285355
131	0.7663904241
132	0.7659099009
133	0.7657026894
134	0.765190824
135	0.7643019403
136	0.7637638172
137	0.7629721438
138	0.7626612482
139	0.7620475279
140	0.7618150665
141	0.7615028695
142	0.7612490899
143	0.7609980262
144	0.760653206
145	0.7601617839
146	0.7598907024
147	0.7594279723
148	0.7589796901
149	0.7586765169
150	0.7583704822
151	0.7575474916
152	0.7571427342
153	0.7566690763
154	0.756326926
155	0.755952102
156	0.7556335911
157	0.7552549897
158	0.7549275845
159	0.7541763092
160	0.753131828
161	0.7526326028
162	0.7523368784
163	0.7521609873
164	0.7512525729
165	0.7508598635
166	0.7505037359
167	0.7503483006
168	0.7499638835
169	0.7496324073
170	0.7491608951
171	0.7488865164
172	0.7487025592
173	0.7483890373
174	0.7481525826
